ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;ano_empenho;numero_empenho;data_registro_doc_empenho;numero_processo_compra_siad;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_credor;cnpj_cpf_credor_formatado;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;39;2024-01-29;1081017 000003/2020;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;4;SERVICO DE TELECOMUNICACAO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;CLARO S.A.;40.432.544/0001-47;11750,38;1245,49;1185,7
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;40;2024-01-29;1081017 000022/2018;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;4;SERVICO DE TELECOMUNICACAO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;CLARO S.A.;40.432.544/0112-62;4254,18;2051,52;1953,06
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;41;2024-01-30;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;46163,58;39385,8;30146,76
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;44;2024-01-30;1081017 000033/2020;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;21;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;SOLANO TECNOLOGIA EMPRESARIAL LTDA - ME;00.774.777/0001-03;4725,0;3465,0;3465,0
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;45;2024-01-30;1081017 000014/2019;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;21;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;HU CONSERVACAO DE ELEVADORES LTDA - ME;26.917.959/0001-80;12666,64;12666,64;12412,08
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;46;2024-01-30;1081017 000015/2020;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;62;SERVICOS DE VIGILANCIA OSTENSIVA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MG SERVICOS PROTECAO E MONITORAMENTO LTDA;01.002.725/0001-81;3810,88;3428,27;3428,27
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;47;2024-01-30;1081017 000057/2022;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;62;SERVICOS DE VIGILANCIA OSTENSIVA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;ALIANCA COMERCIO E SERVICOS DE SEGURANCA ELETRONICA LTDA - ME;15.866.070/0001-02;1230,0;665,0;665,0
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;48;2024-01-30;1081017 000050/2022;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;62;SERVICOS DE VIGILANCIA OSTENSIVA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;PROTEJA-SE COMERCIO LTDA -EPP;02.335.984/0001-97;913,85;913,85;913,85
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;49;2024-01-30;1081017 000025/2020;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;62;SERVICOS DE VIGILANCIA OSTENSIVA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;AZIZ SISTEMAS DE SEGURANCA LTDA;07.301.055/0001-80;8129,66;7675,97;7445,66
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;50;2024-01-30;1081017 000046/2018;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;62;SERVICOS DE VIGILANCIA OSTENSIVA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;COMMANDO SEGURANCA ELETRONICA LTDA;11.369.367/0001-01;10863,6;10863,6;10331,88
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;51;2024-01-30;1081017 000046/2019;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;62;SERVICOS DE VIGILANCIA OSTENSIVA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;COMMANDO SEGURANCA ELETRONICA LTDA;11.369.367/0001-01;1225,17;1225,17;1163,91
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;52;2024-01-30;1081017 000070/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;2;SERVICO DE TECNOLOGIA DA INFORMACAO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;PROCEDATA INFORMATICA LTDA;65.181.075/0001-61;650384,8;596741,6;495195,58
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;53;2024-01-30;1081017 000026/2023;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;2;SERVICO DE TECNOLOGIA DA INFORMACAO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO);33.683.111/0001-07;31352,2;28502,0;28502,0
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;54;2024-01-30;1081017 000006/2019;37;LOCACAO DE MAO-DE-OBRA;2;LOCACAO DE SERVICOS DE APOIO ADMINISTRATIVO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;ASSOCIACAO PROFISSIONALIZANTE DO MENOR DE BELO HORIZONTE -ASSPROM;19.201.128/0001-41;1590000,0;1379958,76;1379958,76
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;55;2024-01-30;1081017 000020/2023;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;10;PREMIOS DE SEGUROS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;BRASILSEG COMPANHIA DE SEGUROS;28.196.889/0001-43;412,66;217,78;190,87
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;56;2024-01-30;1081017 000082/2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;15;SERVICO POSTAL-TELEGRAFICO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS - ECT;34.028.316/0015-09;117000,0;98829,18;98829,18
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;57;2024-01-30;1081017 000102/2021;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;43;SERVICO DE ADMINISTRACAO E GERENCIAMENTO DE FROTA DE VEICULOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;TICKET GESTAO EM MANUTENCAO EZC S.A;08.273.364/0001-57;67029,49;67029,49;65959,45
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;58;2024-01-30;1081017 000080/2023;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;4;SERVICO DE TELECOMUNICACAO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;CLARO S.A.;40.432.544/0112-62;24000,0;3033,28;2887,68
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;59;2024-01-30;1081017 000001/2023;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;87;SERVICOS DE GERENCIAMENTO E FORNECIMENTO DE COMBUSTIVEL;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;20000,0;9002,02;8999,86
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;60;2024-01-30;1081017 000009/2019;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;87;SERVICOS DE GERENCIAMENTO E FORNECIMENTO DE COMBUSTIVEL;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;ABASTEK AUTOMACAO LTDA;26.179.697/0001-01;15807,28;15807,28;14258,16
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;65;2024-01-30;1081017 000007/2023;33;PASSAGENS E DESPESAS COM LOCOMOCAO;4;PASSAGENS - PESSOA JURIDICA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;VOETUR TURISMO E REPRESENTACOES LTDA;01.017.250/0001-05;111867,16;104986,96;100874,83
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;66;2024-01-30;1081017 000023/2023;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;4;SERVICO DE TELECOMUNICACAO;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;METODO TELECOMUNICACOES E COMERCIO LTDA;65.295.172/0001-85;1020,0;510,0;489,6
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;67;2024-01-30;1081017 000006/2020;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;19;LOCACAO DE MAQUINAS E EQUIPAMENTOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;AMC INFORMATICA LTDA;62.541.735/0001-80;83541,89;83541,89;79531,88
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;68;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;12480,0;10653,66;3118,55
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;69;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16580,0;13342,25;11802,43
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;70;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16580,0;13762,44;13762,44
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;71;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16580,0;13776,81;13776,81
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;72;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13776,61;13776,61
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;73;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13761,53;13761,53
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;74;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13704,27;13704,27
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;75;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13730,94;13730,94
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;76;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13763,97;13763,97
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;77;2024-01-30;1081017 000074/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;7;AQUISICAO DE SOFTWARE DESENVOLVIDO PELA PRODEMGE;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEM;16.636.540/0001-04;4080000,0;3529291,16;3271652,88
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;78;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13774,81;13774,81
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;79;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13763,72;13763,72
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;80;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13710,97;13710,97
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;81;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13762,07;13762,07
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;82;2024-01-30;1081017 000089/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;16578,0;13777,07;13777,07
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;83;2024-01-30;1081017 000076/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;3;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEM;16.636.540/0001-04;1002907,62;910855,57;844055,13
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;84;2024-01-30;1081017 000078/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;3;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEM;16.636.540/0001-04;929506,02;929506,02;861652,01
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;85;2024-01-30;1081017 000023/2023;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;19;LOCACAO DE MAQUINAS E EQUIPAMENTOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;METODO TELECOMUNICACOES E COMERCIO LTDA;65.295.172/0001-85;165022,45;150523,57;143294,33
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;120;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;43604,03;40020,5;28949,63
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;121;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;45598,8;38821,02;29688,11
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;122;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;40910,73;39329,25;27073,88
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;123;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;582341,56;577690,5;443468,59
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;124;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;310957,74;297599,68;224037,51
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;125;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;39907,18;39907,18;28859,91
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;126;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;42793,64;39442,93;29667,81
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;127;2024-01-31;1501561 000016/2021;37;LOCACAO DE MAO-DE-OBRA;3;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA REALIZADOS PELA MGS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;33.224.254/0001-42;43281,32;39892,43;29640,88
